Name,Address,Operation Hour,Latitude,Longitude
Subway Shaftsbury Square,"Shaftsbury Square, P2-08&09, 2350 Persiaran Multimedia, Cyber 6, Cyberjaya, 63000","Monday - Saturday, 8:00 AM – 10:00PM,Sunday, 11:00 AM – 8:00PM",2.923232,101.660782
Subway TBS,"Unit L4-29, 4th Floor, Terminal Bersepadu Selatan, Bandar Tasik Selatan, Kuala Lumpur, 57100","Monday - Sunday, 10:00 AM – 8:00PM,Friday, 9:00 AM – 9:00PM",3.078001,101.710922
Subway KWC (Kenanga),"KWC Fashion Mall, No.2, Jalan Gelugor, Lot G-08, Kuala Lumpur, 55200","Monday - Sunday, 10:00 AM - 8:00 PM",3.136102,101.708431
Subway Selayang 18,"Lot 3.06, 3rd Floor vendor letter SH-15-G,Grd Floor,Selayang, Kuala Lumpur, 68000 , Batu Caves, 68100","Monday - Sunday, 8:00 AM - 9:00 PM",3.255174,101.654411
Subway Shell Bandar Puteri Klang,"Shell Gas Station/C-Store, Shell Bandar Puteri, PT80564,Lorong Pending 4/KS 07, Bandar Puteri, Klang, 41200","Monday - Sunday, 8:30 AM - 9:00 PM",2.994440,101.468173
Subway Sime Darby Parkcity,"Sime Darby Parkcity, CP Retail 2, No. 2 Jalan Intisari, Perdana Desa Parkcity, Kuala Lumpur, 52200","Monday - Sunday, 8:00 AM - 9:30 PM",3.189334,101.638541
Subway TM,"Lower Ground 1 (LG1), Menara TM, Jalan Pantai Baharu, 50672 Kuala Lumpur","Monday, 10:00 AM – 8:00PM,Tuesday - Thursday, 8:00 AM – 8:00PM,Friday, 8:20 AM – 8:00PM,Saturday, 9:00 AM – 9:00PM,Sunday, Closed",3.116129,101.665866
Subway Giant Putra Height,"Giant Hypermarket, Putra Height, No. 3 Persiaran Putra Perdana, Putra Heights, 47650","Monday, 10:00 AM – 10:30PM,Tuesday & Sunday, 10:00 AM – 9:30PM",2.989671,101.572335
Subway Semenyih,"19-G, Ground Floor, Jalan TPS 1/3, Taman Pelangi, 43500 Semenyih, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",2.931837,101.855625
Subway Petronas Bangi,"Petronas Bandar Baru Bangi, Plot A, Seksyen 15, Bandar Baru Bangi, Kajang, 43000","Monday - Sunday, 8:00 AM - 10:00 PM",2.934294,101.768335
Subway Petronas Cyberjaya,"Petronas Cyberjaya, Lot PT 29771, Persiaran APEC, Cyber 3, Mukim Dengkil, Sepang, 63000","Monday - Sunday, 9:30 AM - 8:00 PM",2.935971,101.661231
Subway GPS,"Petronas Green Plus Station, Plus Hwy & Sungai Besi Hwy, Lot 896, Ground Floor, QSR 3, Mukim Kajang, Hulu Langat, 43300","Monday - Sunday, 8:00 AM - 11:00 PM",3.005880,101.725544
Subway Sunway Lagoon,"Sunway Lagoon Theme Park, FB-Z-001, 3, Jalan PJS 11/11, Bandar Sunway, Petaling Jaya, 46150",Monday - Sunday (10:00AM - 6:00PM)Tuesday : Close,3.071533,101.605323
Subway Sri Gombak,"No. G100, Jalan Prima SG3/2, Taman Prima, Sri Gombak, Kuala Lumpur, 68100","Monday - Sunday, 8:00 AM - 10:30 PM",3.237666,101.700343
"Subway Trillium, Lake Fields","No.66, Jalan Tasik Utama 7, Medan Niaga Tasik Damai, (Trillium) Lake Field, Sg Besi, Kuala Lumpur, 57000","Monday - Sunday, 8:30 AM - 10:00 PM",3.059890,101.710432
